,file,lib,time_(s)
0,compress_snappy_4K.pq,cudf,0.04940605163574219
1,compress_snappy_4K.orc,cudf,0.04184603691101074
2,compress_snappy_8K.pq,cudf,0.018641233444213867
3,compress_snappy_8K.orc,cudf,0.01375269889831543
4,compress_snappy_12K.pq,cudf,0.02266693115234375
5,compress_snappy_12K.orc,cudf,0.016193628311157227
6,compress_snappy_16K.pq,cudf,0.026535511016845703
7,compress_snappy_16K.orc,cudf,0.0155029296875
8,compress_snappy_32K.pq,cudf,0.042473554611206055
9,compress_snappy_32K.orc,cudf,0.01790308952331543
10,compress_snappy_64K.pq,cudf,0.05796098709106445
11,compress_snappy_64K.orc,cudf,0.022515535354614258
12,compress_snappy_128K.pq,cudf,0.07863402366638184
13,compress_snappy_128K.orc,cudf,0.032656192779541016
14,compress_snappy_256K.pq,cudf,0.11398053169250488
15,compress_snappy_256K.orc,cudf,0.04456210136413574
16,compress_snappy_512K.pq,cudf,0.16531658172607422
17,compress_snappy_512K.orc,cudf,0.06743884086608887
18,compress_snappy_1M.pq,cudf,0.2284681797027588
19,compress_snappy_1M.orc,cudf,0.13945865631103516
20,compress_snappy_2M.pq,cudf,0.3485147953033447
21,compress_snappy_2M.orc,cudf,0.24007630348205566
22,compress_snappy_4M.pq,cudf,0.6042978763580322
23,compress_snappy_4M.orc,cudf,0.5028884410858154
24,compress_snappy_8M.pq,cudf,1.1620991230010986
25,compress_snappy_8M.orc,cudf,1.0850675106048584
26,compress_none_4K.pq,cudf,0.009176015853881836
27,compress_none_4K.orc,cudf,0.006603717803955078
28,compress_none_8K.pq,cudf,0.015300989151000977
29,compress_none_8K.orc,cudf,0.011250734329223633
30,compress_none_12K.pq,cudf,0.01873779296875
31,compress_none_12K.orc,cudf,0.012792825698852539
32,compress_none_16K.pq,cudf,0.022878408432006836
33,compress_none_16K.orc,cudf,0.012358427047729492
34,compress_none_32K.pq,cudf,0.036589622497558594
35,compress_none_32K.orc,cudf,0.014087438583374023
36,compress_none_64K.pq,cudf,0.04290604591369629
37,compress_none_64K.orc,cudf,0.021085023880004883
38,compress_none_128K.pq,cudf,0.05808305740356445
39,compress_none_128K.orc,cudf,0.03156876564025879
40,compress_none_256K.pq,cudf,0.08879780769348145
41,compress_none_256K.orc,cudf,0.0546567440032959
42,compress_none_512K.pq,cudf,0.1680455207824707
43,compress_none_512K.orc,cudf,0.10159850120544434
44,compress_none_1M.pq,cudf,0.26373910903930664
45,compress_none_1M.orc,cudf,0.17238330841064453
46,compress_none_2M.pq,cudf,0.4432544708251953
47,compress_none_2M.orc,cudf,0.2927892208099365
48,compress_none_4M.pq,cudf,0.7728464603424072
49,compress_none_4M.orc,cudf,0.6004922389984131
50,compress_none_8M.pq,cudf,1.5016770362854004
51,compress_none_8M.orc,cudf,1.1770610809326172
52,compress_zstd_4K.pq,cudf,0.021123647689819336
53,compress_zstd_4K.orc,cudf,0.02705669403076172
54,compress_zstd_8K.pq,cudf,0.02233743667602539
55,compress_zstd_8K.orc,cudf,0.02756786346435547
56,compress_zstd_12K.pq,cudf,0.024321556091308594
57,compress_zstd_12K.orc,cudf,0.028734922409057617
58,compress_zstd_16K.pq,cudf,0.028687000274658203
59,compress_zstd_16K.orc,cudf,0.029350757598876953
60,compress_zstd_32K.pq,cudf,0.04022383689880371
61,compress_zstd_32K.orc,cudf,0.032189369201660156
62,compress_zstd_64K.pq,cudf,0.0492708683013916
63,compress_zstd_64K.orc,cudf,0.03629660606384277
64,compress_zstd_128K.pq,cudf,0.06158447265625
65,compress_zstd_128K.orc,cudf,0.04268693923950195
66,compress_zstd_256K.pq,cudf,0.0861818790435791
67,compress_zstd_256K.orc,cudf,0.05931568145751953
68,compress_zstd_512K.pq,cudf,0.15009546279907227
69,compress_zstd_512K.orc,cudf,0.07938885688781738
70,compress_zstd_1M.pq,cudf,0.20861148834228516
71,compress_zstd_1M.orc,cudf,0.14014577865600586
72,compress_zstd_2M.pq,cudf,0.31072998046875
73,compress_zstd_2M.orc,cudf,0.2480485439300537
74,compress_zstd_4M.pq,cudf,0.5082359313964844
75,compress_zstd_4M.orc,cudf,0.4392373561859131
76,compress_zstd_8M.pq,cudf,0.992713451385498
77,compress_zstd_8M.orc,cudf,0.924605131149292
78,compress_snappy_4K.pq,cudf,0.009308338165283203
79,compress_snappy_4K.orc,cudf,0.0069844722747802734
80,compress_snappy_8K.pq,cudf,0.012096643447875977
81,compress_snappy_8K.orc,cudf,0.008451700210571289
