,file,lib,time_(s)
0,compress_snappy_4K.pq,cudf,0.007650852203369141
1,compress_snappy_4K.orc,cudf,0.005929231643676758
2,compress_snappy_8K.pq,cudf,0.010565757751464844
3,compress_snappy_8K.orc,cudf,0.007345914840698242
4,compress_snappy_12K.pq,cudf,0.013697147369384766
5,compress_snappy_12K.orc,cudf,0.007872581481933594
6,compress_snappy_16K.pq,cudf,0.017985105514526367
7,compress_snappy_16K.orc,cudf,0.00811624526977539
8,compress_snappy_32K.pq,cudf,0.03152942657470703
9,compress_snappy_32K.orc,cudf,0.009680509567260742
10,compress_snappy_64K.pq,cudf,0.04079103469848633
11,compress_snappy_64K.orc,cudf,0.011200666427612305
12,compress_snappy_128K.pq,cudf,0.05358266830444336
13,compress_snappy_128K.orc,cudf,0.015152931213378906
14,compress_snappy_256K.pq,cudf,0.07671880722045898
15,compress_snappy_256K.orc,cudf,0.019881486892700195
16,compress_snappy_512K.pq,cudf,0.10250973701477051
17,compress_snappy_512K.orc,cudf,0.03476095199584961
18,compress_snappy_1M.pq,cudf,0.13843083381652832
19,compress_snappy_1M.orc,cudf,0.05795860290527344
20,compress_snappy_2M.pq,cudf,0.19135427474975586
21,compress_snappy_2M.orc,cudf,0.10266733169555664
22,compress_snappy_4M.pq,cudf,0.25806093215942383
23,compress_snappy_4M.orc,cudf,0.2258923053741455
24,compress_snappy_8M.pq,cudf,0.4179561138153076
25,compress_snappy_8M.orc,cudf,0.3766500949859619
26,compress_none_4K.pq,cudf,0.0063211917877197266
27,compress_none_4K.orc,cudf,0.00421142578125
28,compress_none_8K.pq,cudf,0.008476734161376953
29,compress_none_8K.orc,cudf,0.004492998123168945
30,compress_none_12K.pq,cudf,0.010302305221557617
31,compress_none_12K.orc,cudf,0.005621433258056641
32,compress_none_16K.pq,cudf,0.013669967651367188
33,compress_none_16K.orc,cudf,0.005838155746459961
34,compress_none_32K.pq,cudf,0.023942232131958008
35,compress_none_32K.orc,cudf,0.0063326358795166016
36,compress_none_64K.pq,cudf,0.03059244155883789
37,compress_none_64K.orc,cudf,0.007009744644165039
38,compress_none_128K.pq,cudf,0.03706812858581543
39,compress_none_128K.orc,cudf,0.012073516845703125
40,compress_none_256K.pq,cudf,0.04852604866027832
41,compress_none_256K.orc,cudf,0.025825977325439453
42,compress_none_512K.pq,cudf,0.08774137496948242
43,compress_none_512K.orc,cudf,0.04360079765319824
44,compress_none_1M.pq,cudf,0.10788416862487793
45,compress_none_1M.orc,cudf,0.057361602783203125
46,compress_none_2M.pq,cudf,0.15035438537597656
47,compress_none_2M.orc,cudf,0.10467886924743652
48,compress_none_4M.pq,cudf,0.23650360107421875
49,compress_none_4M.orc,cudf,0.2080063819885254
50,compress_none_8M.pq,cudf,0.46091413497924805
51,compress_none_8M.orc,cudf,0.39574432373046875
52,compress_zstd_4K.pq,cudf,0.013584375381469727
53,compress_zstd_4K.orc,cudf,0.013773441314697266
54,compress_zstd_8K.pq,cudf,0.01533961296081543
55,compress_zstd_8K.orc,cudf,0.014886140823364258
56,compress_zstd_12K.pq,cudf,0.017699718475341797
57,compress_zstd_12K.orc,cudf,0.015146255493164062
58,compress_zstd_16K.pq,cudf,0.02067422866821289
59,compress_zstd_16K.orc,cudf,0.016154766082763672
60,compress_zstd_32K.pq,cudf,0.030750274658203125
61,compress_zstd_32K.orc,cudf,0.01641559600830078
62,compress_zstd_64K.pq,cudf,0.03704667091369629
63,compress_zstd_64K.orc,cudf,0.018406391143798828
64,compress_zstd_128K.pq,cudf,0.045786142349243164
65,compress_zstd_128K.orc,cudf,0.02246999740600586
66,compress_zstd_256K.pq,cudf,0.06086421012878418
67,compress_zstd_256K.orc,cudf,0.03037714958190918
68,compress_zstd_512K.pq,cudf,0.08878540992736816
69,compress_zstd_512K.orc,cudf,0.05046343803405762
70,compress_zstd_1M.pq,cudf,0.11035323143005371
71,compress_zstd_1M.orc,cudf,0.07328033447265625
72,compress_zstd_2M.pq,cudf,0.16679000854492188
73,compress_zstd_2M.orc,cudf,0.11693811416625977
74,compress_zstd_4M.pq,cudf,0.19536137580871582
75,compress_zstd_4M.orc,cudf,0.1917133331298828
76,compress_zstd_8M.pq,cudf,0.3692922592163086
77,compress_zstd_8M.orc,cudf,0.33341240882873535
78,compress_snappy_4K.pq,cudf,0.0070955753326416016
79,compress_snappy_4K.orc,cudf,0.005259275436401367
80,compress_snappy_8K.pq,cudf,0.009690999984741211
81,compress_snappy_8K.orc,cudf,0.0066852569580078125
82,compress_snappy_12K.pq,cudf,0.012401819229125977
83,compress_snappy_12K.orc,cudf,0.0096893310546875
84,compress_snappy_16K.pq,cudf,0.016336441040039062
85,compress_snappy_16K.orc,cudf,0.007629871368408203
86,compress_snappy_32K.pq,cudf,0.028135061264038086
87,compress_snappy_32K.orc,cudf,0.008008718490600586
88,compress_snappy_64K.pq,cudf,0.04070878028869629
89,compress_snappy_64K.orc,cudf,0.00951385498046875
90,compress_snappy_128K.pq,cudf,0.052222251892089844
91,compress_snappy_128K.orc,cudf,0.0123138427734375
92,compress_snappy_256K.pq,cudf,0.07381653785705566
93,compress_snappy_256K.orc,cudf,0.01713252067565918
94,compress_snappy_512K.pq,cudf,0.09779548645019531
95,compress_snappy_512K.orc,cudf,0.02581310272216797
96,compress_snappy_1M.pq,cudf,0.1157693862915039
97,compress_snappy_1M.orc,cudf,0.04477667808532715
98,compress_snappy_2M.pq,cudf,0.1432032585144043
99,compress_snappy_2M.orc,cudf,0.08291339874267578
100,compress_snappy_4M.pq,cudf,0.19230031967163086
101,compress_snappy_4M.orc,cudf,0.16107749938964844
102,compress_snappy_8M.pq,cudf,0.37923431396484375
103,compress_snappy_8M.orc,cudf,0.3117027282714844
104,compress_none_4K.pq,cudf,0.00632023811340332
105,compress_none_4K.orc,cudf,0.00423121452331543
106,compress_none_8K.pq,cudf,0.00821375846862793
107,compress_none_8K.orc,cudf,0.0045053958892822266
108,compress_none_12K.pq,cudf,0.010461568832397461
109,compress_none_12K.orc,cudf,0.005585193634033203
110,compress_none_16K.pq,cudf,0.013763904571533203
111,compress_none_16K.orc,cudf,0.0057141780853271484
112,compress_none_32K.pq,cudf,0.023715734481811523
113,compress_none_32K.orc,cudf,0.0058634281158447266
114,compress_none_64K.pq,cudf,0.030013084411621094
115,compress_none_64K.orc,cudf,0.006913900375366211
116,compress_none_128K.pq,cudf,0.03612351417541504
117,compress_none_128K.orc,cudf,0.01027822494506836
118,compress_none_256K.pq,cudf,0.04928851127624512
119,compress_none_256K.orc,cudf,0.0177309513092041
120,compress_none_512K.pq,cudf,0.07502317428588867
121,compress_none_512K.orc,cudf,0.02958822250366211
122,compress_none_1M.pq,cudf,0.10659193992614746
123,compress_none_1M.orc,cudf,0.053214073181152344
124,compress_none_2M.pq,cudf,0.14757609367370605
125,compress_none_2M.orc,cudf,0.08492255210876465
126,compress_none_4M.pq,cudf,0.2165684700012207
127,compress_none_4M.orc,cudf,0.16527962684631348
128,compress_none_8M.pq,cudf,0.3666269779205322
129,compress_none_8M.orc,cudf,0.31850624084472656
130,compress_zstd_4K.pq,cudf,0.013599395751953125
131,compress_zstd_4K.orc,cudf,0.013787984848022461
132,compress_zstd_8K.pq,cudf,0.015488147735595703
133,compress_zstd_8K.orc,cudf,0.01497960090637207
134,compress_zstd_12K.pq,cudf,0.017109394073486328
135,compress_zstd_12K.orc,cudf,0.01521158218383789
136,compress_zstd_16K.pq,cudf,0.020681142807006836
137,compress_zstd_16K.orc,cudf,0.016082286834716797
138,compress_zstd_32K.pq,cudf,0.030786514282226562
139,compress_zstd_32K.orc,cudf,0.01635456085205078
140,compress_zstd_64K.pq,cudf,0.03680682182312012
141,compress_zstd_64K.orc,cudf,0.01804327964782715
142,compress_zstd_128K.pq,cudf,0.045018672943115234
143,compress_zstd_128K.orc,cudf,0.021012306213378906
144,compress_zstd_256K.pq,cudf,0.05820274353027344
145,compress_zstd_256K.orc,cudf,0.0261690616607666
146,compress_zstd_512K.pq,cudf,0.08962082862854004
147,compress_zstd_512K.orc,cudf,0.040198564529418945
148,compress_zstd_1M.pq,cudf,0.11100506782531738
149,compress_zstd_1M.orc,cudf,0.06116938591003418
150,compress_zstd_2M.pq,cudf,0.1401510238647461
151,compress_zstd_2M.orc,cudf,0.10278892517089844
152,compress_zstd_4M.pq,cudf,0.1719040870666504
153,compress_zstd_4M.orc,cudf,0.16848325729370117
154,compress_zstd_8M.pq,cudf,0.3487849235534668
155,compress_zstd_8M.orc,cudf,0.3322718143463135
156,compress_snappy_4K.pq,cudf,0.007093906402587891
157,compress_snappy_4K.orc,cudf,0.005285501480102539
158,compress_snappy_8K.pq,cudf,0.009707927703857422
159,compress_snappy_8K.orc,cudf,0.006740570068359375
160,compress_snappy_12K.pq,cudf,0.012399673461914062
161,compress_snappy_12K.orc,cudf,0.007568359375
162,compress_snappy_16K.pq,cudf,0.01635909080505371
163,compress_snappy_16K.orc,cudf,0.007634162902832031
164,compress_snappy_32K.pq,cudf,0.028343915939331055
165,compress_snappy_32K.orc,cudf,0.008029460906982422
166,compress_snappy_64K.pq,cudf,0.041127920150756836
167,compress_snappy_64K.orc,cudf,0.010394096374511719
168,compress_snappy_128K.pq,cudf,0.05343174934387207
169,compress_snappy_128K.orc,cudf,0.012728452682495117
170,compress_snappy_256K.pq,cudf,0.07742738723754883
171,compress_snappy_256K.orc,cudf,0.019347667694091797
172,compress_snappy_512K.pq,cudf,0.10269474983215332
173,compress_snappy_512K.orc,cudf,0.03044581413269043
174,compress_snappy_1M.pq,cudf,0.12559294700622559
175,compress_snappy_1M.orc,cudf,0.05350971221923828
176,compress_snappy_2M.pq,cudf,0.16043472290039062
177,compress_snappy_2M.orc,cudf,0.10998773574829102
178,compress_snappy_4M.pq,cudf,0.2138674259185791
179,compress_snappy_4M.orc,cudf,0.16092324256896973
180,compress_snappy_8M.pq,cudf,0.37942957878112793
181,compress_snappy_8M.orc,cudf,0.3119814395904541
