,file,lib,time_(s)
0,core_core_4K.pq,cudf,0.014398574829101562
1,core_core_4K.pq,pyarrow,0.03333473205566406
2,core_core_4K.orc,cudf,0.040360212326049805
3,core_core_4K.orc,pyarrow,0.053656816482543945
4,core_core_8K.pq,cudf,0.01453089714050293
5,core_core_8K.pq,pyarrow,0.006613969802856445
6,core_core_8K.orc,cudf,0.01513361930847168
7,core_core_8K.orc,pyarrow,0.01320505142211914
8,core_core_12K.pq,cudf,0.022162437438964844
9,core_core_12K.pq,pyarrow,0.008427858352661133
10,core_core_12K.orc,cudf,0.01655125617980957
11,core_core_12K.orc,pyarrow,0.011087417602539062
12,core_core_16K.pq,cudf,0.021924257278442383
13,core_core_16K.pq,pyarrow,0.0065228939056396484
14,core_core_16K.orc,cudf,0.012232303619384766
15,core_core_16K.orc,pyarrow,0.010248661041259766
16,core_core_32K.pq,cudf,0.03655505180358887
17,core_core_32K.pq,pyarrow,0.010676145553588867
18,core_core_32K.orc,cudf,0.014338254928588867
19,core_core_32K.orc,pyarrow,0.020756006240844727
20,core_core_64K.pq,cudf,0.05381321907043457
21,core_core_64K.pq,pyarrow,0.01795339584350586
22,core_core_64K.orc,cudf,0.01928877830505371
23,core_core_64K.orc,pyarrow,0.04094529151916504
24,core_core_128K.pq,cudf,0.07359790802001953
25,core_core_128K.pq,pyarrow,0.032880544662475586
26,core_core_128K.orc,cudf,0.034203529357910156
27,core_core_128K.orc,pyarrow,0.09103512763977051
28,core_core_256K.pq,cudf,0.11238479614257812
29,core_core_256K.pq,pyarrow,0.06308460235595703
30,core_core_256K.orc,cudf,0.050722599029541016
31,core_core_256K.orc,pyarrow,0.19297337532043457
32,core_core_512K.pq,cudf,0.1646592617034912
33,core_core_512K.pq,pyarrow,0.09964942932128906
34,core_core_512K.orc,cudf,0.07124662399291992
35,core_core_512K.orc,pyarrow,0.3872666358947754
36,core_core_1M.pq,cudf,0.221327543258667
37,core_core_1M.pq,pyarrow,0.15766072273254395
38,core_core_1M.orc,cudf,0.15239763259887695
39,core_core_1M.orc,pyarrow,0.776343584060669
40,core_core_2M.pq,cudf,0.3775143623352051
41,core_core_2M.pq,pyarrow,0.26212024688720703
42,core_core_2M.orc,cudf,0.26385068893432617
43,core_core_2M.orc,pyarrow,1.5590097904205322
44,core_core_4M.pq,cudf,0.6124019622802734
45,core_core_4M.pq,pyarrow,0.3061549663543701
46,core_core_4M.orc,cudf,0.4925954341888428
47,core_core_4M.orc,pyarrow,3.0758235454559326
48,core_core_8M.pq,cudf,1.1774752140045166
49,core_core_8M.pq,pyarrow,0.4921994209289551
50,core_core_8M.orc,cudf,1.1359429359436035
51,core_core_8M.orc,pyarrow,6.1612818241119385
52,core_core_4K.pq,cudf,0.013439655303955078
53,core_core_4K.pq,pyarrow,0.00579380989074707
54,core_core_4K.orc,cudf,0.011899948120117188
55,core_core_4K.orc,pyarrow,0.0072214603424072266
56,core_core_8K.pq,cudf,0.01691412925720215
57,core_core_8K.pq,pyarrow,0.007196903228759766
58,core_core_8K.orc,cudf,0.015002965927124023
59,core_core_8K.orc,pyarrow,0.010720014572143555
60,core_core_12K.pq,cudf,0.019618988037109375
61,core_core_12K.pq,pyarrow,0.008713006973266602
62,core_core_12K.orc,cudf,0.014560699462890625
63,core_core_12K.orc,pyarrow,0.012311935424804688
64,core_core_16K.pq,cudf,0.0250093936920166
65,core_core_16K.pq,pyarrow,0.008809566497802734
66,core_core_16K.orc,cudf,0.014955997467041016
67,core_core_16K.orc,pyarrow,0.010856151580810547
68,core_core_32K.pq,cudf,0.04277753829956055
69,core_core_32K.pq,pyarrow,0.01555180549621582
70,core_core_32K.orc,cudf,0.01807117462158203
71,core_core_32K.orc,pyarrow,0.04059481620788574
72,core_core_64K.pq,cudf,0.05972743034362793
73,core_core_64K.pq,pyarrow,0.021351337432861328
74,core_core_64K.orc,cudf,0.023366928100585938
75,core_core_64K.orc,pyarrow,0.04870772361755371
76,core_core_128K.pq,cudf,0.07170248031616211
77,core_core_128K.pq,pyarrow,0.03528428077697754
78,core_core_128K.orc,cudf,0.03264808654785156
79,core_core_128K.orc,pyarrow,0.12122440338134766
80,core_core_256K.pq,cudf,0.11785149574279785
81,core_core_256K.pq,pyarrow,0.07187867164611816
82,core_core_256K.orc,cudf,0.05259275436401367
83,core_core_256K.orc,pyarrow,0.19721317291259766
84,core_core_512K.pq,cudf,0.17625117301940918
85,core_core_512K.pq,pyarrow,0.1163630485534668
86,core_core_512K.orc,cudf,0.08570003509521484
87,core_core_512K.orc,pyarrow,0.41090989112854004
88,core_core_1M.pq,cudf,0.23411059379577637
89,core_core_1M.pq,pyarrow,0.16893506050109863
90,core_core_1M.orc,cudf,0.12985515594482422
91,core_core_1M.orc,pyarrow,0.8392667770385742
92,core_core_2M.pq,cudf,0.3757331371307373
93,core_core_2M.pq,pyarrow,0.17934918403625488
94,core_core_2M.orc,cudf,0.26496434211730957
95,core_core_2M.orc,pyarrow,1.6586296558380127
96,core_core_4M.pq,cudf,0.6132490634918213
97,core_core_4M.pq,pyarrow,0.2898859977722168
98,core_core_4M.orc,cudf,0.49527549743652344
99,core_core_4M.orc,pyarrow,3.261209011077881
100,core_core_8M.pq,cudf,1.1096181869506836
101,core_core_8M.pq,pyarrow,0.4982635974884033
102,core_core_8M.orc,cudf,1.1348421573638916
103,core_core_8M.orc,pyarrow,6.420848369598389
104,core_core_4K.pq,cudf,0.010164499282836914
105,core_core_4K.pq,pyarrow,0.005510091781616211
106,core_core_4K.orc,cudf,0.01252436637878418
107,core_core_4K.orc,pyarrow,0.005972385406494141
108,core_core_8K.pq,cudf,0.013585329055786133
109,core_core_8K.pq,pyarrow,0.006661653518676758
110,core_core_8K.orc,cudf,0.01457834243774414
111,core_core_8K.orc,pyarrow,0.008341312408447266
112,core_core_12K.pq,cudf,0.017209529876708984
113,core_core_12K.pq,pyarrow,0.009824037551879883
114,core_core_12K.orc,cudf,0.016128063201904297
115,core_core_12K.orc,pyarrow,0.009546995162963867
116,core_core_16K.pq,cudf,0.021860361099243164
117,core_core_16K.pq,pyarrow,0.009674549102783203
118,core_core_16K.orc,cudf,0.012042522430419922
119,core_core_16K.orc,pyarrow,0.010560989379882812
120,core_core_32K.pq,cudf,0.036577701568603516
121,core_core_32K.pq,pyarrow,0.013830900192260742
122,core_core_32K.orc,cudf,0.013746976852416992
123,core_core_32K.orc,pyarrow,0.021039962768554688
124,core_core_64K.pq,cudf,0.052809953689575195
125,core_core_64K.pq,pyarrow,0.024637460708618164
126,core_core_64K.orc,cudf,0.02268528938293457
127,core_core_64K.orc,pyarrow,0.04668617248535156
128,core_core_128K.pq,cudf,0.07236242294311523
129,core_core_128K.pq,pyarrow,0.04189610481262207
130,core_core_128K.orc,cudf,0.03293013572692871
131,core_core_128K.orc,pyarrow,0.09649920463562012
132,core_core_256K.pq,cudf,0.11773419380187988
133,core_core_256K.pq,pyarrow,0.08387541770935059
134,core_core_256K.orc,cudf,0.05307960510253906
135,core_core_256K.orc,pyarrow,0.22988080978393555
136,core_core_512K.pq,cudf,0.17368268966674805
137,core_core_512K.pq,pyarrow,0.10940861701965332
138,core_core_512K.orc,cudf,0.09094834327697754
139,core_core_512K.orc,pyarrow,0.42073512077331543
140,core_core_1M.pq,cudf,0.23745012283325195
141,core_core_1M.pq,pyarrow,0.15106606483459473
142,core_core_1M.orc,cudf,0.14572477340698242
143,core_core_1M.orc,pyarrow,0.8286046981811523
144,core_core_2M.pq,cudf,0.3582925796508789
145,core_core_2M.pq,pyarrow,0.19834351539611816
146,core_core_2M.orc,cudf,0.262737512588501
147,core_core_2M.orc,pyarrow,1.6676957607269287
148,core_core_4M.pq,cudf,0.6316285133361816
149,core_core_4M.pq,pyarrow,0.302016019821167
150,core_core_4M.orc,cudf,0.49191951751708984
151,core_core_4M.orc,pyarrow,3.312215805053711
152,core_core_8M.pq,cudf,1.1304230690002441
153,core_core_8M.pq,pyarrow,0.4666895866394043
154,core_core_8M.orc,cudf,1.1184132099151611
155,core_core_8M.orc,pyarrow,6.46318793296814
156,core_core_4K.pq,cudf,0.01142120361328125
157,core_core_4K.pq,pyarrow,0.005457639694213867
158,core_core_4K.orc,cudf,0.007618427276611328
159,core_core_4K.orc,pyarrow,0.00514674186706543
160,core_core_8K.pq,cudf,0.017886877059936523
161,core_core_8K.pq,pyarrow,0.007023334503173828
162,core_core_8K.orc,cudf,0.015726327896118164
163,core_core_8K.orc,pyarrow,0.012429952621459961
164,core_core_12K.pq,cudf,0.02192234992980957
165,core_core_12K.pq,pyarrow,0.009126663208007812
166,core_core_12K.orc,cudf,0.01568126678466797
167,core_core_12K.orc,pyarrow,0.0106353759765625
168,core_core_16K.pq,cudf,0.022105693817138672
169,core_core_16K.pq,pyarrow,0.009494781494140625
170,core_core_16K.orc,cudf,0.012897253036499023
171,core_core_16K.orc,pyarrow,0.010414838790893555
172,core_core_32K.pq,cudf,0.036728620529174805
173,core_core_32K.pq,pyarrow,0.013069629669189453
174,core_core_32K.orc,cudf,0.014650583267211914
175,core_core_32K.orc,pyarrow,0.021548748016357422
176,core_core_64K.pq,cudf,0.05267477035522461
177,core_core_64K.pq,pyarrow,0.01962757110595703
178,core_core_64K.orc,cudf,0.01832723617553711
179,core_core_64K.orc,pyarrow,0.04275226593017578
180,core_core_128K.pq,cudf,0.07264947891235352
181,core_core_128K.pq,pyarrow,0.03586006164550781
182,core_core_128K.orc,cudf,0.03313922882080078
183,core_core_128K.orc,pyarrow,0.11069679260253906
184,core_core_256K.pq,cudf,0.11698150634765625
185,core_core_256K.pq,pyarrow,0.08357954025268555
186,core_core_256K.orc,cudf,0.05318140983581543
187,core_core_256K.orc,pyarrow,0.20115375518798828
188,core_core_512K.pq,cudf,0.17590546607971191
189,core_core_512K.pq,pyarrow,0.10707616806030273
190,core_core_512K.orc,cudf,0.08634209632873535
191,core_core_512K.orc,pyarrow,0.42697763442993164
192,core_core_1M.pq,cudf,0.23394203186035156
193,core_core_1M.pq,pyarrow,0.15137028694152832
194,core_core_1M.orc,cudf,0.1260967254638672
195,core_core_1M.orc,pyarrow,0.8615481853485107
196,core_core_2M.pq,cudf,0.38291001319885254
197,core_core_2M.pq,pyarrow,0.19660377502441406
198,core_core_2M.orc,cudf,0.2678821086883545
199,core_core_2M.orc,pyarrow,1.7001252174377441
200,core_core_4M.pq,cudf,0.6300761699676514
201,core_core_4M.pq,pyarrow,0.2978482246398926
