,file,lib,time_(s)
0,rle_string_0.000.pq,cudf,0.17573952674865723
1,rle_string_0.000.pq,pyarrow,0.21875977516174316
2,rle_string_0.000.orc,cudf,0.009221315383911133
3,rle_string_0.000.orc,pyarrow,0.1700289249420166
4,rle_string_0.002.pq,cudf,0.12640380859375
5,rle_string_0.002.pq,pyarrow,0.23871350288391113
6,rle_string_0.002.orc,cudf,0.007606029510498047
7,rle_string_0.002.orc,pyarrow,0.17455005645751953
8,rle_string_0.010.pq,cudf,0.1262195110321045
9,rle_string_0.010.pq,pyarrow,0.24764275550842285
10,rle_string_0.010.orc,cudf,0.008836507797241211
11,rle_string_0.010.orc,pyarrow,0.18872451782226562
12,rle_string_0.020.pq,cudf,0.12632131576538086
13,rle_string_0.020.pq,pyarrow,0.2620840072631836
14,rle_string_0.020.orc,cudf,0.00922083854675293
15,rle_string_0.020.orc,pyarrow,0.18102788925170898
16,rle_string_0.040.pq,cudf,0.14445853233337402
17,rle_string_0.040.pq,pyarrow,0.23849105834960938
18,rle_string_0.040.orc,cudf,0.009425640106201172
19,rle_string_0.040.orc,pyarrow,0.21304917335510254
20,rle_string_0.080.pq,cudf,0.12649059295654297
21,rle_string_0.080.pq,pyarrow,0.3248450756072998
22,rle_string_0.080.orc,cudf,0.021259546279907227
23,rle_string_0.080.orc,pyarrow,0.22997546195983887
24,rle_string_0.100.pq,cudf,0.12656736373901367
25,rle_string_0.100.pq,pyarrow,0.33620285987854004
26,rle_string_0.100.orc,cudf,0.010259151458740234
27,rle_string_0.100.orc,pyarrow,0.2219676971435547
28,rle_string_0.200.pq,cudf,0.1266496181488037
29,rle_string_0.200.pq,pyarrow,0.4868292808532715
30,rle_string_0.200.orc,cudf,0.012566804885864258
31,rle_string_0.200.orc,pyarrow,0.3059365749359131
32,rle_string_0.300.pq,cudf,0.12694239616394043
33,rle_string_0.300.pq,pyarrow,0.7438530921936035
34,rle_string_0.300.orc,cudf,0.015149116516113281
35,rle_string_0.300.orc,pyarrow,0.4030632972717285
36,rle_string_0.400.pq,cudf,0.12714672088623047
37,rle_string_0.400.pq,pyarrow,0.7165169715881348
38,rle_string_0.400.orc,cudf,0.019171953201293945
39,rle_string_0.400.orc,pyarrow,0.5184485912322998
40,rle_string_0.500.pq,cudf,0.14511442184448242
41,rle_string_0.500.pq,pyarrow,0.8825905323028564
42,rle_string_0.500.orc,cudf,0.018881559371948242
43,rle_string_0.500.orc,pyarrow,0.6135330200195312
44,rle_string_0.600.pq,cudf,0.12716293334960938
45,rle_string_0.600.pq,pyarrow,0.9529461860656738
46,rle_string_0.600.orc,cudf,0.020018577575683594
47,rle_string_0.600.orc,pyarrow,0.6872079372406006
48,rle_string_0.700.pq,cudf,0.14503741264343262
49,rle_string_0.700.pq,pyarrow,1.1072642803192139
50,rle_string_0.700.orc,cudf,0.022395849227905273
51,rle_string_0.700.orc,pyarrow,0.7818093299865723
52,rle_string_0.800.pq,cudf,0.14293146133422852
53,rle_string_0.800.pq,pyarrow,1.179551124572754
54,rle_string_0.800.orc,cudf,0.02570939064025879
55,rle_string_0.800.orc,pyarrow,0.862241268157959
56,rle_string_0.900.pq,cudf,0.1452493667602539
