compression,use_dictionary,dictionary_pagesize_limit,row_group_size,version,data_page_version,workload,time,time_preload,size,device,i
NONE,True,1048576,1048576,2.6,2.0,core,2.1877,0.134205,59958767,st1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,1.45183,0.20082,44507957,st1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.375817,0.162895,59958767,io1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.440638,0.255279,44507957,io1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.43188,0.202461,59958767,gp2,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.445355,0.198921,44507957,gp2,1
NONE,True,1048576,1048576,2.6,2.0,core,0.418275,0.131717,59958767,th125,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.417041,0.202467,44507957,th125,1
NONE,True,1048576,1048576,2.6,2.0,core,0.167327,0.1361,59958767,nvme,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.226458,0.198508,44507957,nvme,1
NONE,True,1048576,1048576,2.6,2.0,core,1.12666,0.156767,59958767,st1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,1.02702,0.199671,44507957,st1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.242799,0.135218,59958767,io1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.312009,0.206764,44507957,io1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.250791,0.115117,59958767,gp2,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.30281,0.200186,44507957,gp2,1
NONE,True,1048576,1048576,2.6,2.0,core,0.413834,0.134458,59958767,th125,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.412028,0.228586,44507957,th125,1
NONE,True,1048576,1048576,2.6,2.0,core,0.164941,0.11619,59958767,nvme,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.229016,0.200065,44507957,nvme,1
NONE,True,1048576,1048576,2.6,2.0,core,1.14007,0.161932,59958767,st1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.857722,0.180466,44507957,st1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.242737,0.114749,59958767,io1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.288542,0.2112,44507957,io1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.245542,0.133164,59958767,gp2,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.285059,0.181062,44507957,gp2,1
NONE,True,1048576,1048576,2.6,2.0,core,0.411713,0.151025,59958767,th125,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.413645,0.201234,44507957,th125,1
NONE,True,1048576,1048576,2.6,2.0,core,0.169091,0.136264,59958767,nvme,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.237464,0.199932,44507957,nvme,1
NONE,True,1048576,1048576,2.6,2.0,core,1.15115,0.13446,59958767,st1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.929473,0.197209,44507957,st1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.25206,0.13384,59958767,io1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.292167,0.181143,44507957,io1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.249285,0.132673,59958767,gp2,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.29181,0.181323,44507957,gp2,1
NONE,True,1048576,1048576,2.6,2.0,core,0.422407,0.133211,59958767,th125,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.410674,0.19696,44507957,th125,1
NONE,True,1048576,1048576,2.6,2.0,core,0.167201,0.135439,59958767,nvme,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.240947,0.229293,44507957,nvme,1
NONE,True,1048576,1048576,2.6,2.0,core,1.10023,0.134999,59958767,st1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.952794,0.199928,44507957,st1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.300116,0.132274,59958767,io1,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.314608,0.198749,44507957,io1,1
NONE,True,1048576,1048576,2.6,2.0,core,0.252667,0.133804,59958767,gp2,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.297074,0.198525,44507957,gp2,1
NONE,True,1048576,1048576,2.6,2.0,core,0.444378,0.132978,59958767,th125,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.416341,0.202462,44507957,th125,1
NONE,True,1048576,1048576,2.6,2.0,core,0.171471,0.135938,59958767,nvme,1
ZSTD,True,1048576,1048576,2.6,2.0,core,0.230687,0.201603,44507957,nvme,1
