run,i,file,size,read_time,read_time_preload
2,0,parquet,17574165,0.120288,0.100803
2,0,orc,20243199,0.126586,0.106644
3,0,parquet,17574165,0.120312,0.102571
3,0,orc,13496919,0.216604,0.197697
4,0,parquet,17574165,0.118424,0.0997583
4,0,orc,10163519,0.191575,0.171907
5,0,parquet,17574165,0.119155,0.105129
5,0,orc,8163499,0.176735,0.158438
6,0,parquet,17574165,0.122826,0.082417
6,0,orc,6830179,0.16566,0.147118
7,0,parquet,17574165,0.118752,0.100502
7,0,orc,5877819,0.157806,0.139392
8,0,parquet,5034447,0.131789,0.10061
8,0,orc,5163459,0.152104,0.133393
9,0,parquet,4478927,0.123665,0.114983
9,0,orc,4607939,0.14445,0.128793
10,0,parquet,4034441,0.11826,0.1062
10,0,orc,4163419,0.140783,0.128344
2,1,parquet,17574165,0.121369,0.0996546
2,1,orc,20243199,0.127167,0.106238
3,1,parquet,17574165,0.119057,0.0999597
3,1,orc,13496919,0.214596,0.197191
4,1,parquet,17574165,0.117844,0.0997754
4,1,orc,10163519,0.190937,0.173074
5,1,parquet,17574165,0.123393,0.104112
5,1,orc,8163499,0.176615,0.157882
6,1,parquet,17574165,0.119538,0.0827912
6,1,orc,6830179,0.165861,0.147297
7,1,parquet,17574165,0.119728,0.101394
7,1,orc,5877819,0.158087,0.139071
8,1,parquet,5034447,0.130231,0.123083
8,1,orc,5163459,0.151162,0.133927
9,1,parquet,4478927,0.122493,0.0949621
9,1,orc,4607939,0.144836,0.130506
10,1,parquet,4034441,0.118202,0.0892211
10,1,orc,4163419,0.140143,0.128137
2,2,parquet,17574165,0.120952,0.0834166
2,2,orc,20243199,0.126098,0.104368
3,2,parquet,17574165,0.119417,0.10235
3,2,orc,13496919,0.216755,0.195381
4,2,parquet,17574165,0.119311,0.082912
4,2,orc,10163519,0.191618,0.17192
5,2,parquet,17574165,0.122833,0.10248
5,2,orc,8163499,0.177279,0.158706
6,2,parquet,17574165,0.121903,0.0991962
6,2,orc,6830179,0.165185,0.148387
7,2,parquet,17574165,0.122521,0.104522
7,2,orc,5877819,0.158834,0.140012
8,2,parquet,5034447,0.131544,0.117304
8,2,orc,5163459,0.154003,0.133363
9,2,parquet,4478927,0.125926,0.117325
9,2,orc,4607939,0.143687,0.129849
10,2,parquet,4034441,0.117939,0.0890851
10,2,orc,4163419,0.140042,0.128021
2,3,parquet,17574165,0.118554,0.0998372
2,3,orc,20243199,0.127607,0.105864
3,3,parquet,17574165,0.120478,0.106092
3,3,orc,13496919,0.215842,0.195996
4,3,parquet,17574165,0.118575,0.0826349
4,3,orc,10163519,0.190414,0.172929
5,3,parquet,17574165,0.119913,0.106302
5,3,orc,8163499,0.176594,0.158167
6,3,parquet,17574165,0.120493,0.0997681
6,3,orc,6830179,0.16498,0.148412
7,3,parquet,17574165,0.119616,0.100318
7,3,orc,5877819,0.15754,0.140065
8,3,parquet,5034447,0.12917,0.118217
8,3,orc,5163459,0.150484,0.13386
