type,feature,param,file,size
int,car,0.0001,parquet,8867757
int,car,0.0001,orc,13704800
int,car,0.001,parquet,12385288
int,car,0.001,orc,16291887
int,car,0.01,parquet,19860923
int,car,0.01,orc,21288313
int,car,0.1,parquet,31203223
int,car,0.1,orc,29491015
int,car,0.2,parquet,38860913
int,car,0.2,orc,32734647
int,car,0.4,parquet,53887245
int,car,0.4,orc,33759571
int,car,0.7,parquet,67566480
int,car,0.7,orc,34517806
float,car,0.0001,parquet,14525336
float,car,0.0001,orc,147309800
float,car,0.001,parquet,20981996
float,car,0.001,orc,147317219
float,car,0.01,parquet,30635080
float,car,0.01,orc,147320578
float,car,0.1,parquet,47923001
float,car,0.1,orc,147309301
float,car,0.2,parquet,59826019
float,car,0.2,orc,147338928
float,car,0.4,parquet,82171301
float,car,0.4,orc,147675862
float,car,0.7,parquet,100324016
float,car,0.7,orc,147293289
string,car,0.0001,parquet,8674491
string,car,0.0001,orc,9258982
string,car,0.001,parquet,13030482
string,car,0.001,orc,16861809
string,car,0.01,parquet,24075735
string,car,0.01,orc,23404584
string,car,0.1,parquet,64822609
string,car,0.1,orc,64861473
string,car,0.2,parquet,137177243
string,car,0.2,orc,132305492
string,car,0.4,parquet,199864491
string,car,0.4,orc,187756516
string,car,0.7,parquet,251510818
string,car,0.7,orc,233523195
