type,feature,param,file,size
int,sort,0.01,parquet,29854582
int,sort,0.01,orc,35944601
int,sort,0.2,parquet,32591084
int,sort,0.2,orc,35917599
int,sort,0.4,parquet,20252622
int,sort,0.4,orc,26934016
int,sort,0.6,parquet,13331976
int,sort,0.6,orc,18097761
int,sort,0.8,parquet,4951446
int,sort,0.8,orc,9123575
int,sort,1.0,parquet,5168581
int,sort,1.0,orc,3033126
float,sort,0.01,parquet,64508568
float,sort,0.01,orc,149550227
float,sort,0.2,parquet,52889151
float,sort,0.2,orc,149662250
float,sort,0.4,parquet,45878749
float,sort,0.4,orc,149620512
float,sort,0.6,parquet,32631693
float,sort,0.6,orc,149333999
float,sort,0.8,parquet,16335953
float,sort,0.8,orc,146931313
float,sort,1.0,parquet,11322364
float,sort,1.0,orc,149851616
string,sort,0.01,parquet,259586958
string,sort,0.01,orc,250013536
string,sort,0.2,parquet,93480329
string,sort,0.2,orc,91036193
string,sort,0.4,parquet,113693015
string,sort,0.4,orc,109576314
string,sort,0.6,parquet,25996907
string,sort,0.6,orc,25998513
string,sort,0.8,parquet,13927233
string,sort,0.8,orc,14191325
string,sort,1.0,parquet,23054928
string,sort,1.0,orc,20674546
int,width,10.0,parquet,12128837
int,width,10.0,orc,17345180
int,width,100.0,parquet,12136409
int,width,100.0,orc,17649097
int,width,1000.0,parquet,12123924
int,width,1000.0,orc,18598185
int,width,10000.0,parquet,12127604
int,width,10000.0,orc,20935894
int,width,100000.0,parquet,12128858
int,width,100000.0,orc,24323157
int,width,1000000.0,parquet,12121390
int,width,1000000.0,orc,26568365
int,width,10000000.0,parquet,12117631
int,width,10000000.0,orc,30123201
int,width,100000000.0,parquet,12123636
int,width,100000000.0,orc,33247908
float,width,100.0,parquet,53633842
float,width,100.0,orc,148766705
float,width,10000.0,parquet,53633842
float,width,10000.0,orc,148766705
float,width,1000000.0,parquet,53633842
float,width,1000000.0,orc,148766705
float,width,100000000.0,parquet,53633842
float,width,100000000.0,orc,148766705
string,width,5.0,parquet,48823363
string,width,5.0,orc,41321736
string,width,10.0,parquet,65762716
string,width,10.0,orc,58626795
string,width,25.0,parquet,114303560
string,width,25.0,orc,107995636
string,width,50.0,parquet,197648015
string,width,50.0,orc,191470506
string,width,100.0,parquet,363251635
string,width,100.0,orc,358346947
string,width,250.0,parquet,3927649555
string,width,250.0,orc,4109044582
string,width,500.0,parquet,7771264140
string,width,500.0,orc,8434228719
int,zipf,0.01,parquet,12910295
int,zipf,0.01,orc,17362871
int,zipf,0.2,parquet,12662488
int,zipf,0.2,orc,16898571
int,zipf,0.4,parquet,12628334
int,zipf,0.4,orc,16726443
int,zipf,0.6,parquet,12727848
int,zipf,0.6,orc,16795667
int,zipf,0.8,parquet,12707003
int,zipf,0.8,orc,16740092
int,zipf,1.0,parquet,12654518
int,zipf,1.0,orc,16589549
int,zipf,1.2,parquet,12502741
int,zipf,1.2,orc,15243047
int,zipf,1.4,parquet,11831587
int,zipf,1.4,orc,14488899
int,zipf,1.6,parquet,11272648
int,zipf,1.6,orc,14393783
int,zipf,1.8,parquet,10632105
int,zipf,1.8,orc,14630758
int,zipf,2.0,parquet,10262055
int,zipf,2.0,orc,14819225
float,zipf,0.01,parquet,66877372
float,zipf,0.01,orc,148856917
float,zipf,0.2,parquet,66547595
float,zipf,0.2,orc,148879676
float,zipf,0.4,parquet,65674459
float,zipf,0.4,orc,148853944
float,zipf,0.6,parquet,61866551
float,zipf,0.6,orc,148856834
float,zipf,0.8,parquet,53899007
float,zipf,0.8,orc,148876320
float,zipf,1.0,parquet,41128436
float,zipf,1.0,orc,148888648
float,zipf,1.2,parquet,32946334
float,zipf,1.2,orc,148855619
float,zipf,1.4,parquet,28695302
float,zipf,1.4,orc,148857153
float,zipf,1.6,parquet,25989688
float,zipf,1.6,orc,148856009
float,zipf,1.8,parquet,24157564
float,zipf,1.8,orc,148856176
float,zipf,2.0,parquet,23121759
float,zipf,2.0,orc,148853797
string,zipf,0.01,parquet,151090122
string,zipf,0.01,orc,139542444
string,zipf,0.2,parquet,164319613
string,zipf,0.2,orc,151897669
string,zipf,0.4,parquet,163528928
string,zipf,0.4,orc,150497503
string,zipf,0.6,parquet,149884103
string,zipf,0.6,orc,137972588
string,zipf,0.8,parquet,103501068
string,zipf,0.8,orc,96811501
string,zipf,1.0,parquet,58590869
string,zipf,1.0,orc,56848467
string,zipf,1.2,parquet,32573863
string,zipf,1.2,orc,29440558
string,zipf,1.4,parquet,22746922
string,zipf,1.4,orc,21545132
string,zipf,1.6,parquet,18623384
string,zipf,1.6,orc,18827823
string,zipf,1.8,parquet,16448813
string,zipf,1.8,orc,17661073
string,zipf,2.0,parquet,15056289
string,zipf,2.0,orc,16877164
int,car,0.0001,parquet,8867757
int,car,0.0001,orc,13704800
int,car,0.001,parquet,12385288
int,car,0.001,orc,16291887
int,car,0.01,parquet,19860923
int,car,0.01,orc,21288313
int,car,0.1,parquet,31203223
int,car,0.1,orc,29491015
int,car,0.2,parquet,38860913
int,car,0.2,orc,32734647
int,car,0.4,parquet,53887245
int,car,0.4,orc,33759571
int,car,0.7,parquet,67566480
int,car,0.7,orc,34517806
float,car,0.0001,parquet,14525336
float,car,0.0001,orc,147309800
float,car,0.001,parquet,20981996
float,car,0.001,orc,147317219
float,car,0.01,parquet,30635080
float,car,0.01,orc,147320578
float,car,0.1,parquet,47923001
float,car,0.1,orc,147309301
float,car,0.2,parquet,59826019
float,car,0.2,orc,147338928
float,car,0.4,parquet,82171301
float,car,0.4,orc,147675862
float,car,0.7,parquet,100324016
float,car,0.7,orc,147293289
string,car,0.0001,parquet,8674491
string,car,0.0001,orc,9258982
string,car,0.001,parquet,13030482
string,car,0.001,orc,16861809
string,car,0.01,parquet,24075735
string,car,0.01,orc,23404584
string,car,0.1,parquet,64822609
string,car,0.1,orc,64861473
string,car,0.2,parquet,137177243
string,car,0.2,orc,132305492
string,car,0.4,parquet,199864491
string,car,0.4,orc,187756516
string,car,0.7,parquet,251510818
string,car,0.7,orc,233523195
