type,feature,param,file,size
int,sort,0.01,parquet,29854582
int,sort,0.01,orc,35944601
int,sort,0.2,parquet,32591084
int,sort,0.2,orc,35917599
int,sort,0.4,parquet,20252622
int,sort,0.4,orc,26934016
int,sort,0.6,parquet,13331976
int,sort,0.6,orc,18097761
int,sort,0.8,parquet,4951446
int,sort,0.8,orc,9123575
int,sort,1.0,parquet,5168581
int,sort,1.0,orc,3033126
float,sort,0.01,parquet,64508568
float,sort,0.01,orc,149550227
float,sort,0.2,parquet,52889151
float,sort,0.2,orc,149662250
float,sort,0.4,parquet,45878749
float,sort,0.4,orc,149620512
float,sort,0.6,parquet,32631693
float,sort,0.6,orc,149333999
float,sort,0.8,parquet,16335953
float,sort,0.8,orc,146931313
float,sort,1.0,parquet,11322364
float,sort,1.0,orc,149851616
string,sort,0.01,parquet,259586958
string,sort,0.01,orc,250013536
string,sort,0.2,parquet,93480329
string,sort,0.2,orc,91036193
string,sort,0.4,parquet,113693015
string,sort,0.4,orc,109576314
string,sort,0.6,parquet,25996907
string,sort,0.6,orc,25998513
string,sort,0.8,parquet,13927233
string,sort,0.8,orc,14191325
string,sort,1.0,parquet,23054928
string,sort,1.0,orc,20674546
