type,feature,param,file,size
int,width,10,parquet,12128837
int,width,10,orc,17345180
int,width,100,parquet,12136409
int,width,100,orc,17649097
int,width,1000,parquet,12123924
int,width,1000,orc,18598185
int,width,10000,parquet,12127604
int,width,10000,orc,20935894
int,width,100000,parquet,12128858
int,width,100000,orc,24323157
int,width,1000000,parquet,12121390
int,width,1000000,orc,26568365
int,width,10000000,parquet,12117631
int,width,10000000,orc,30123201
int,width,100000000,parquet,12123636
int,width,100000000,orc,33247908
float,width,100,parquet,53633842
float,width,100,orc,148766705
float,width,10000,parquet,53633842
float,width,10000,orc,148766705
float,width,1000000,parquet,53633842
float,width,1000000,orc,148766705
float,width,100000000,parquet,53633842
float,width,100000000,orc,148766705
string,width,5,parquet,48823363
string,width,5,orc,41321736
string,width,10,parquet,65762716
string,width,10,orc,58626795
string,width,25,parquet,114303560
string,width,25,orc,107995636
string,width,50,parquet,197648015
string,width,50,orc,191470506
string,width,100,parquet,363251635
string,width,100,orc,358346947
string,width,250,parquet,3927649555
string,width,250,orc,4109044582
string,width,500,parquet,7771264140
string,width,500,orc,8434228719
