wl,format,i,proj_type,selectivity,filter_type,time,time_preload
core,parquet,0,one,0.3,range,30,15
core,parquet,0,one,0.3,range,24,17
core,parquet,0,one,0.3,range,31,19
core,parquet,0,one,0.3,range,29,20
core,parquet,0,one,0.3,range,17,6
core,parquet,0,one,0.3,point,22,15
core,parquet,0,one,0.1,range,24,15
core,parquet,0,one,0.1,range,28,19
core,parquet,0,one,0.1,range,29,19
core,parquet,0,one,0.01,point,30,21
core,parquet,0,one,0.01,point,31,21
core,parquet,0,one,0.01,point,18,11
core,parquet,0,one,0.01,point,28,18
core,parquet,0,one,0.01,point,23,14
core,parquet,0,one,0.01,point,30,20
core,parquet,0,one,0.01,point,31,22
core,parquet,0,one,0.01,point,28,20
core,parquet,0,one,0.01,point,32,22
core,parquet,0,one,0.001,point,31,20
core,parquet,0,one,0.001,point,31,22
core,parquet,0,one,0.001,point,27,18
core,parquet,0,one,0.001,point,31,22
core,parquet,0,one,0.001,point,28,18
core,parquet,0,one,0.001,point,29,19
core,parquet,0,one,0.001,point,27,18
core,parquet,0,one,0.001,point,29,19
core,parquet,0,one,0.001,point,25,16
core,parquet,0,one,0.001,point,31,22
core,parquet,0,one,0.0001,point,24,13
core,parquet,0,one,0.0001,point,23,13
core,parquet,0,one,0.0001,point,24,13
core,parquet,0,one,0.0001,point,23,12
core,parquet,0,one,0.0001,point,24,12
core,parquet,0,one,0.0001,point,24,13
core,parquet,0,one,0.0001,point,25,12
core,parquet,0,one,0.0001,point,24,13
core,parquet,0,one,0.0001,point,24,13
core,parquet,0,one,0.0001,point,23,13
core,parquet,0,one,1e-05,point,23,12
core,parquet,0,one,1e-05,point,28,15
core,parquet,0,one,1e-05,point,18,8
core,parquet,0,one,1e-05,point,94,82
core,parquet,0,one,1e-05,point,23,13
core,parquet,0,one,1e-05,point,28,15
core,parquet,0,one,1e-05,point,19,8
core,parquet,0,one,1e-05,point,98,86
core,parquet,0,one,1e-05,point,29,14
core,parquet,0,one,1e-05,point,18,8
core,parquet,0,one,1e-06,point,23,12
core,parquet,0,one,1e-06,point,28,14
core,parquet,0,one,1e-06,point,23,12
core,parquet,0,one,1e-06,point,28,15
core,parquet,0,one,1e-06,point,23,12
core,parquet,0,one,1e-06,point,29,15
core,parquet,0,one,1e-06,point,24,13
core,parquet,0,one,1e-06,point,30,15
core,parquet,0,one,1e-06,point,23,12
core,parquet,0,one,1e-06,point,28,15
core,orc,0,one,0.3,range,23.2557,11.8597
core,orc,0,one,0.3,range,24.5311,18.9261
core,orc,0,one,0.3,range,15.7284,8.64888
core,orc,0,one,0.3,range,18.5546,11.6242
core,orc,0,one,0.3,range,58.1234,49.918200000000006
core,orc,0,one,0.3,point,17.8374,11.9054
core,orc,0,one,0.1,range,15.1472,9.664390000000001
core,orc,0,one,0.1,range,14.2559,7.4446900000000005
core,orc,0,one,0.1,range,18.031200000000002,10.390099999999999
core,orc,0,one,0.01,point,16.872700000000002,9.41616
core,orc,0,one,0.01,point,18.3934,12.6928
core,orc,0,one,0.01,point,13.4133,7.649730000000001
core,orc,0,one,0.01,point,13.268500000000001,7.0749200000000005
core,orc,0,one,0.01,point,16.488699999999998,10.0574
core,orc,0,one,0.01,point,16.4797,8.85224
core,orc,0,one,0.01,point,18.7377,12.4481
core,orc,0,one,0.01,point,15.001000000000001,7.71006
core,orc,0,one,0.01,point,17.8384,10.541699999999999
core,orc,0,one,0.001,point,16.6925,9.71434
core,orc,0,one,0.001,point,19.954199999999997,13.945
core,orc,0,one,0.001,point,16.0223,9.01135
core,orc,0,one,0.001,point,20.8718,13.934000000000001
core,orc,0,one,0.001,point,16.188000000000002,8.997
core,orc,0,one,0.001,point,17.1083,10.5826
core,orc,0,one,0.001,point,16.2152,8.75563
core,orc,0,one,0.001,point,17.042,10.479199999999999
core,orc,0,one,0.001,point,15.0052,7.95133
core,orc,0,one,0.001,point,20.0047,13.7507
core,orc,0,one,0.0001,point,44.8158,35.6704
core,orc,0,one,0.0001,point,46.0037,37.547
core,orc,0,one,0.0001,point,47.3921,39.2787
core,orc,0,one,0.0001,point,44.9175,36.4149
core,orc,0,one,0.0001,point,45.0302,36.4975
core,orc,0,one,0.0001,point,43.996100000000006,35.6979
core,orc,0,one,0.0001,point,43.273199999999996,35.7231
core,orc,0,one,0.0001,point,46.4737,38.1669
core,orc,0,one,0.0001,point,44.558,36.9767
core,orc,0,one,0.0001,point,46.574400000000004,38.320100000000004
core,orc,0,one,1e-05,point,42.2761,34.2618
core,orc,0,one,1e-05,point,46.325900000000004,38.128
core,orc,0,one,1e-05,point,50.177899999999994,41.7994
core,orc,0,one,1e-05,point,35.9296,22.0829
core,orc,0,one,1e-05,point,44.8205,36.6877
core,orc,0,one,1e-05,point,45.2441,37.2182
core,orc,0,one,1e-05,point,51.1528,42.7863
core,orc,0,one,1e-05,point,38.2935,25.6809
core,orc,0,one,1e-05,point,46.989200000000004,38.9103
core,orc,0,one,1e-05,point,51.9003,43.896499999999996
core,orc,0,one,1e-06,point,43.4127,33.9799
core,orc,0,one,1e-06,point,44.320100000000004,35.334900000000005
core,orc,0,one,1e-06,point,42.2944,34.3022
core,orc,0,one,1e-06,point,45.5015,35.9813
core,orc,0,one,1e-06,point,45.585300000000004,37.543800000000005
core,orc,0,one,1e-06,point,45.2875,35.6265
core,orc,0,one,1e-06,point,43.349,35.526799999999994
core,orc,0,one,1e-06,point,45.9428,36.1215
core,orc,0,one,1e-06,point,46.3976,38.7526
core,orc,0,one,1e-06,point,46.176500000000004,36.3234
core,parquet,1,one,0.3,range,22,15
core,parquet,1,one,0.3,range,24,16
core,parquet,1,one,0.3,range,27,19
core,parquet,1,one,0.3,range,28,20
core,parquet,1,one,0.3,range,14,6
core,parquet,1,one,0.3,point,22,15
core,parquet,1,one,0.1,range,23,15
core,parquet,1,one,0.1,range,27,19
core,parquet,1,one,0.1,range,28,19
core,parquet,1,one,0.01,point,30,21
core,parquet,1,one,0.01,point,31,21
core,parquet,1,one,0.01,point,20,11
core,parquet,1,one,0.01,point,27,18
core,parquet,1,one,0.01,point,23,14
core,parquet,1,one,0.01,point,30,20
core,parquet,1,one,0.01,point,31,21
core,parquet,1,one,0.01,point,29,20
core,parquet,1,one,0.01,point,32,22
core,parquet,1,one,0.001,point,29,20
core,parquet,1,one,0.001,point,31,22
core,parquet,1,one,0.001,point,28,18
core,parquet,1,one,0.001,point,32,23
core,parquet,1,one,0.001,point,27,18
core,parquet,1,one,0.001,point,29,19
core,parquet,1,one,0.001,point,27,18
core,parquet,1,one,0.001,point,29,19
core,parquet,1,one,0.001,point,25,16
core,parquet,1,one,0.001,point,32,22
core,parquet,1,one,0.0001,point,24,13
core,parquet,1,one,0.0001,point,23,13
core,parquet,1,one,0.0001,point,24,13
core,parquet,1,one,0.0001,point,24,13
core,parquet,1,one,0.0001,point,23,12
core,parquet,1,one,0.0001,point,23,13
core,parquet,1,one,0.0001,point,23,12
core,parquet,1,one,0.0001,point,23,13
core,parquet,1,one,0.0001,point,24,12
core,parquet,1,one,0.0001,point,24,13
core,parquet,1,one,1e-05,point,24,13
core,parquet,1,one,1e-05,point,29,15
core,parquet,1,one,1e-05,point,18,8
core,parquet,1,one,1e-05,point,94,85
core,parquet,1,one,1e-05,point,23,13
core,parquet,1,one,1e-05,point,28,15
core,parquet,1,one,1e-05,point,18,8
core,parquet,1,one,1e-05,point,96,86
core,parquet,1,one,1e-05,point,28,16
core,parquet,1,one,1e-05,point,18,8
core,parquet,1,one,1e-06,point,24,13
core,parquet,1,one,1e-06,point,29,15
core,parquet,1,one,1e-06,point,24,12
core,parquet,1,one,1e-06,point,28,15
core,parquet,1,one,1e-06,point,25,13
core,parquet,1,one,1e-06,point,29,15
core,parquet,1,one,1e-06,point,24,12
core,parquet,1,one,1e-06,point,28,15
core,parquet,1,one,1e-06,point,23,13
core,parquet,1,one,1e-06,point,29,15
core,orc,1,one,0.3,range,18.8006,11.8557
core,orc,1,one,0.3,range,26.7335,18.9037
core,orc,1,one,0.3,range,15.3621,8.71092
core,orc,1,one,0.3,range,18.0153,11.5974
core,orc,1,one,0.3,range,57.8719,49.8413
core,orc,1,one,0.3,point,17.7968,11.8446
core,orc,1,one,0.1,range,16.3515,9.761830000000002
core,orc,1,one,0.1,range,14.1938,7.32235
core,orc,1,one,0.1,range,17.2824,10.345099999999999
core,orc,1,one,0.01,point,16.0111,9.35622
core,orc,1,one,0.01,point,19.046799999999998,12.4394
core,orc,1,one,0.01,point,13.942599999999999,7.59709
core,orc,1,one,0.01,point,14.216299999999999,6.96506
core,orc,1,one,0.01,point,20.731800000000003,10.092600000000001
core,orc,1,one,0.01,point,15.7653,8.880139999999999
core,orc,1,one,0.01,point,18.8055,12.4197
core,orc,1,one,0.01,point,14.3861,7.5894200000000005
core,orc,1,one,0.01,point,17.7562,10.6678
core,orc,1,one,0.001,point,16.357400000000002,9.57106
