time,time_preload,format,i,col_idx,num_cols,num_rows
44,30,parquet,0,0,10,100000
35,30,parquet,0,1,10,100000
35,30,parquet,0,2,10,100000
35,30,parquet,0,0,50,100000
36,30,parquet,0,1,50,100000
36,30,parquet,0,2,50,100000
35,31,parquet,0,0,100,100000
36,30,parquet,0,1,100,100000
35,30,parquet,0,2,100,100000
36,31,parquet,0,0,150,100000
37,40,parquet,0,1,150,100000
36,31,parquet,0,2,150,100000
36,31,parquet,0,0,200,100000
36,31,parquet,0,1,200,100000
36,31,parquet,0,2,200,100000
36,32,parquet,0,0,400,100000
37,33,parquet,0,1,400,100000
37,32,parquet,0,2,400,100000
37,33,parquet,0,0,600,100000
38,32,parquet,0,1,600,100000
37,32,parquet,0,2,600,100000
39,33,parquet,0,0,800,100000
38,33,parquet,0,1,800,100000
38,33,parquet,0,2,800,100000
39,33,parquet,0,0,1000,100000
39,34,parquet,0,1,1000,100000
39,33,parquet,0,2,1000,100000
13.4682,7.41324,orc,0,0,10,100000
12.2616,7.4116800000000005,orc,0,1,10,100000
12.7765,7.39236,orc,0,2,10,100000
12.4586,7.47597,orc,0,0,50,100000
12.123,7.318960000000001,orc,0,1,50,100000
12.0181,7.41043,orc,0,2,50,100000
12.9102,7.67354,orc,0,0,100,100000
13.108,7.67962,orc,0,1,100,100000
13.5237,7.49208,orc,0,2,100,100000
13.8384,8.188880000000001,orc,0,0,150,100000
14.2781,8.31396,orc,0,1,150,100000
14.8296,8.10963,orc,0,2,150,100000
16.3145,9.59954,orc,0,0,200,100000
16.2828,9.71781,orc,0,1,200,100000
16.744100000000003,9.60048,orc,0,2,200,100000
21.6501,13.4262,orc,0,0,400,100000
23.051,13.4106,orc,0,1,400,100000
22.9412,13.472299999999999,orc,0,2,400,100000
30.897299999999998,20.6906,orc,0,0,600,100000
30.6847,20.9777,orc,0,1,600,100000
31.1615,20.412300000000002,orc,0,2,600,100000
42.134100000000004,31.9031,orc,0,0,800,100000
43.7686,31.7666,orc,0,1,800,100000
43.7745,31.9931,orc,0,2,800,100000
55.7473,43.8519,orc,0,0,1000,100000
57.8072,43.7985,orc,0,1,1000,100000
58.6899,43.592,orc,0,2,1000,100000
35,30,parquet,1,0,10,100000
36,30,parquet,1,1,10,100000
36,32,parquet,1,2,10,100000
35,30,parquet,1,0,50,100000
35,30,parquet,1,1,50,100000
36,30,parquet,1,2,50,100000
35,30,parquet,1,0,100,100000
36,31,parquet,1,1,100,100000
35,31,parquet,1,2,100,100000
35,31,parquet,1,0,150,100000
36,31,parquet,1,1,150,100000
35,31,parquet,1,2,150,100000
35,31,parquet,1,0,200,100000
36,31,parquet,1,1,200,100000
36,31,parquet,1,2,200,100000
36,32,parquet,1,0,400,100000
37,32,parquet,1,1,400,100000
37,32,parquet,1,2,400,100000
37,33,parquet,1,0,600,100000
37,33,parquet,1,1,600,100000
41,32,parquet,1,2,600,100000
38,33,parquet,1,0,800,100000
38,33,parquet,1,1,800,100000
38,33,parquet,1,2,800,100000
39,34,parquet,1,0,1000,100000
39,34,parquet,1,1,1000,100000
39,33,parquet,1,2,1000,100000
12.1654,7.41322,orc,1,0,10,100000
12.1906,7.367710000000001,orc,1,1,10,100000
12.061399999999999,7.46526,orc,1,2,10,100000
11.9945,7.34266,orc,1,0,50,100000
12.179300000000001,7.4730300000000005,orc,1,1,50,100000
12.048100000000002,7.27739,orc,1,2,50,100000
12.9502,7.66001,orc,1,0,100,100000
13.7109,7.68244,orc,1,1,100,100000
13.099,7.67899,orc,1,2,100,100000
14.2645,8.32348,orc,1,0,150,100000
14.7097,8.28968,orc,1,1,150,100000
14.8923,8.38108,orc,1,2,150,100000
16.0198,9.654,orc,1,0,200,100000
16.1188,9.45645,orc,1,1,200,100000
16.3023,9.459620000000001,orc,1,2,200,100000
21.5729,13.513499999999999,orc,1,0,400,100000
22.6389,13.472700000000001,orc,1,1,400,100000
22.191200000000002,13.5046,orc,1,2,400,100000
29.6581,20.6769,orc,1,0,600,100000
30.9983,20.3699,orc,1,1,600,100000
30.966,20.7626,orc,1,2,600,100000
42.2734,31.730500000000003,orc,1,0,800,100000
43.6621,31.696500000000004,orc,1,1,800,100000
44.184,31.809200000000004,orc,1,2,800,100000
56.0649,43.404900000000005,orc,1,0,1000,100000
57.788,43.7033,orc,1,1,1000,100000
58.4162,43.638400000000004,orc,1,2,1000,100000
35,30,parquet,2,0,10,100000
35,30,parquet,2,1,10,100000
35,30,parquet,2,2,10,100000
35,30,parquet,2,0,50,100000
35,30,parquet,2,1,50,100000
36,30,parquet,2,2,50,100000
36,30,parquet,2,0,100,100000
35,30,parquet,2,1,100,100000
35,30,parquet,2,2,100,100000
36,31,parquet,2,0,150,100000
36,31,parquet,2,1,150,100000
35,31,parquet,2,2,150,100000
36,39,parquet,2,0,200,100000
36,31,parquet,2,1,200,100000
35,31,parquet,2,2,200,100000
36,31,parquet,2,0,400,100000
36,32,parquet,2,1,400,100000
36,31,parquet,2,2,400,100000
37,33,parquet,2,0,600,100000
37,32,parquet,2,1,600,100000
37,33,parquet,2,2,600,100000
38,33,parquet,2,0,800,100000
